Episode,Steps,Steps per Episode,Epsilon,Loss,GameReward,Score
1,309,309,0.993109,0,-280,3
2,555,246,0.986265485881,109.08733177185059,-274,1
3,830,275,0.979469130417794,696.9007234573364,-276,2
4,1108,278,0.972719608640085,751.9797945022583,-286,2
5,1318,210,0.9660165978169462,559.2491636276245,-282,0
6,1528,210,0.9593597774413896,504.688684463501,-274,0
7,1738,210,0.952748829215041,443.6019582748413,-338,0
8,1980,242,0.9461834370329202,482.45012855529785,-284,1
9,2221,241,0.9396632869683264,539.9251289367676,-322,1
10,2431,210,0.9331880672578277,462.28271198272705,-294,0
11,2641,210,0.926757468286354,433.035129070282,-282,0
12,2851,210,0.9203711825723927,368.022611618042,-314,0
13,3061,210,0.9140289047532864,404.4843592643738,-302,0
14,3271,210,0.9077303315706314,351.5154209136963,-266,0
15,3513,242,0.9014751618557783,421.0515727996826,-296,1
16,3755,242,0.8952630965154301,457.4325170516968,-304,1
17,3965,210,0.8890938385173424,362.99623107910156,-314,0
18,4206,241,0.8829670928761194,347.90978240966797,-270,1
19,4416,210,0.8768825666391101,319.1181797981262,-290,0
20,4658,242,0.8708399688724,368.5920295715332,-234,1
21,4868,210,0.8648390106469003,310.0821340084076,-258,0
22,5078,210,0.8588794050245325,272.9357759952545,-274,0
23,5288,210,0.8529608670445085,232.1205768585205,-276,0
24,5529,241,0.8470831137097048,307.032039642334,-262,1
25,5840,311,0.8412458639731313,479.69616651535034,-238,3
26,6081,241,0.8354488387244925,350.73919129371643,-254,1
27,6392,311,0.829691760776842,491.31131088733673,-196,3
28,6602,210,0.8239743548533288,354.71708488464355,-278,0
29,6812,210,0.8182963475740346,296.32763957977295,-250,0
30,7022,210,0.8126574674429019,267.9230242371559,-260,0
31,7263,241,0.8070574448347528,329.801561832428,-264,1
32,7505,242,0.8014960119823966,362.770384311676,-266,1
33,7747,242,0.795972902963826,410.264684677124,-242,1
34,8022,275,0.7904878536895023,437.00893038511276,-216,2
35,8297,275,0.7850406018897279,452.39419388771057,-240,2
36,8507,210,0.7796308871021058,396.0090754032135,-254,0
37,8717,210,0.7742584506590853,342.4727487564087,-282,0
38,8958,241,0.7689230356755935,351.6677806377411,-232,1
39,9168,210,0.763624387036753,313.75806748867035,-224,0
40,9378,210,0.7583622513856827,362.79685366153717,-274,0
41,9588,210,0.7531363771113839,338.10491037368774,-240,0
42,9798,210,0.7479465143367094,334.95555329322815,-296,0
43,10008,210,0.7427924149064152,326.2030539512634,-242,0
44,10218,210,0.7376738323752952,322.30941700935364,-272,0
45,10460,242,0.732590521996397,341.64160656929016,-224,1
46,10670,210,0.7275422407093198,257.2572020292282,-252,0
47,10880,210,0.7225287471285919,218.18054366111755,-258,0
48,11090,210,0.7175498015321289,263.2009073495865,-278,0
49,11331,241,0.712605165849771,274.811834692955,-192,1
50,11642,311,0.7076946036519002,402.8018238544464,-172,3
51,11852,210,0.702817880138135,322.85342669487,-250,0
52,12062,210,0.6979747621261031,340.15943145751953,-246,0
53,12272,210,0.6931650180402922,271.30988454818726,-246,0
54,12583,311,0.6883884179009765,425.8456384539604,-160,3
55,12825,242,0.6836447333132208,326.7480376958847,-232,1
56,13066,241,0.6789337374559594,365.1402014493942,-208,1
57,13276,210,0.6742552050711504,325.478173494339,-258,0
58,13522,246,0.6696089124530051,360.2686696052551,-218,1
59,13764,242,0.6649946374372915,292.74515545368195,-220,1
60,14010,246,0.6604121593907111,306.73840433359146,-216,1
61,14251,241,0.6558612592003497,339.6283714771271,-228,1
62,14461,210,0.6513417192632001,303.4199893474579,-232,0
63,14671,210,0.6468533234757574,314.912540435791,-242,0
64,14881,210,0.642395857223686,247.03315460681915,-240,0
65,15091,210,0.6379691073715575,309.81519055366516,-242,0
66,15337,246,0.6335728622526602,290.2814818620682,-236,1
67,15583,246,0.6292069116588771,379.26372742652893,-208,1
68,15829,246,0.6248710468306358,328.6128671169281,-234,1
69,16070,241,0.6205650604469258,358.20051860809326,-212,1
70,16280,210,0.6162887466153861,197.3731346130371,-250,0
71,16589,309,0.6120419008624595,447.4091351032257,-174,3
72,16799,210,0.6078243201236163,357.62214040756226,-230,0
73,17110,311,0.6036358027336445,385.81934547424316,-120,3
74,17352,242,0.5994761484170069,411.19754934310913,-188,1
75,17562,210,0.5953451582782653,386.6280059814453,-210,0
76,17871,309,0.5912426347925698,480.90529239177704,-156,3
77,18081,210,0.5871683817962142,237.36121493577957,-198,0
78,18291,210,0.5831222044772565,298.65590357780457,-228,0
79,18501,210,0.5791039093662037,360.7900233268738,-248,0
80,18847,346,0.5751133043267612,460.1296233534813,-90,4
81,19057,210,0.5711501985466455,297.9953672885895,-210,0
82,19267,210,0.5672144025284606,310.8177319765091,-210,0
83,19508,241,0.563305728080637,437.04139173030853,-184,1
84,19718,210,0.5594239883084333,289.1735348701477,-234,0
85,19928,210,0.5555689976049999,254.97603559494019,-218,0
86,20170,242,0.5517405716425039,367.38843631744385,-192,1
87,20449,279,0.5479385273633154,413.382167249918,-156,2
88,20659,210,0.5441626829712548,341.25658226013184,-218,0
89,21040,381,0.5404128579229,549.955518245697,-82,5
90,21250,210,0.5366888729189533,361.2359858751297,-196,0
91,21596,346,0.5329905498956687,588.4365839958191,-120,4
92,21940,344,0.5293177120163377,535.9082462787628,-110,4
93,22219,279,0.5256701836628331,458.6951103210449,-182,2
94,22429,210,0.5220477904272126,378.3588538169861,-186,0
95,22707,278,0.5184503591033787,461.60827803611755,-160,2
96,23051,344,0.5148777176787973,554.3640275001526,-56,4
97,23362,311,0.5113296953262727,495.9936258792877,-132,3
98,23743,381,0.5078061223957794,641.8760169744492,-56,5
99,23985,242,0.50430683040635,439.4439334869385,-188,1
100,24231,246,0.5008316520380199,455.91568183898926,-202,1
101,24441,210,0.49738042112382597,397.2743215560913,-208,0
102,24716,275,0.49395297264186167,507.6074495315552,-186,2
103,25025,309,0.4905491427073866,683.4277353286743,-96,3
104,25266,241,0.48716876856499,552.2735023498535,-184,1
105,25544,278,0.48381168858080864,698.6026811599731,-170,2
106,25856,312,0.4804777422347983,969.6730079650879,-124,3
107,26066,210,0.4771667701130583,832.8083095550537,-198,0
108,26308,242,0.47387861390020924,1217.5251770019531,-226,1
109,26586,278,0.4706131163718229,2091.3760089874268,-138,2
110,26796,210,0.4673701213869047,2566.754997253418,-242,0
111,27038,242,0.46414947388042754,3289.3932876586914,-184,1
112,27280,242,0.4609510198559175,5574.839096069336,-150,1
113,27490,210,0.4577746063780904,6245.719970703125,-184,0
114,27731,241,0.454620081565539,10854.583282470703,-160,1
115,27973,242,0.45148729458347087,13358.404968261719,-188,1
116,28183,210,0.44837609563649616,16508.709838867188,-210,0
117,28393,210,0.44528633596146505,19143.251739501953,-244,0
118,28668,275,0.4422178678203546,41569.633361816406,-166,2
119,28878,210,0.43917054449320453,45830.27587890625,-194,0
120,29124,246,0.4361442202711019,54893.04357910156,-216,1
121,29334,210,0.43313875044921374,63892.882568359375,-218,0
122,29544,210,0.4301539913198682,74995.07971191406,-222,0
123,29822,278,0.427189800165683,118160.98486328125,-134,2
124,30032,210,0.42424603525274124,105461.05322265625,-238,0
125,30274,242,0.4213225558238146,169970.66821289062,-152,1
126,30586,312,0.41841922209163274,266008.01513671875,-94,3
127,30796,210,0.4155358952321993,180641.62939453125,-206,0
128,31038,242,0.41267243737815423,257823.74389648438,-168,1
129,31248,210,0.4098287116121814,280243.8757324219,-170,0
130,31526,278,0.40700458196046185,470915.26806640625,-134,2
131,31736,210,0.40419991338617234,459480.85205078125,-190,0
132,31946,210,0.40141457178302825,528958.986328125,-220,0
133,32221,275,0.3986484239688714,620505.6748046875,-170,2
134,32463,242,0.3959013376793019,662664.751953125,-208,1
135,32673,210,0.39317318156135384,578472.2221679688,-198,0
136,32883,210,0.39046382516721456,812910.11328125,-182,0
137,33124,241,0.3877731389479873,1183832.9716796875,-172,1
138,33334,210,0.3851009942474967,949632.541015625,-174,0
139,33646,312,0.3824472632961372,1701191.59375,-128,3
140,33856,210,0.37981181920476353,1619557.86328125,-214,0
141,34131,275,0.3771945359586235,1874112.546875,-144,2
142,34341,210,0.37459528841133266,1543824.759765625,-206,0
143,34583,242,0.37201395227889017,1641506.908203125,-184,1
144,34829,246,0.36945040413373637,1978266.044921875,-224,1
145,35075,246,0.36690452139885077,2717119.36328125,-124,1
146,35316,241,0.3643761823418913,2826967.88671875,-160,1
147,35526,210,0.3618652660693733,2802095.068359375,-166,0
148,35767,241,0.35937165252088926,3416529.453125,-132,1
149,36113,346,0.3568952224633678,5765796.84765625,-58,4
150,36323,210,0.35443585748537276,3172045.20703125,-198,0
151,36533,210,0.35199343999144106,4069373.59375,-194,0
152,36743,210,0.34956785319646005,3276577.66796875,-214,0
153,36985,242,0.34715898112008325,4610600.9453125,-156,1
154,37260,275,0.34476670858118474,5664627.546875,-126,2
155,37535,275,0.3423909211923518,7423632.078125,-98,2
156,37810,275,0.34003150535441534,6866069.359375,-90,2
157,38020,210,0.33768834825101807,6125131.75,-186,0
158,38230,210,0.3353613378432203,5442579.390625,-178,0
159,38539,309,0.3330503628641427,8104001.3984375,-40,3
160,38817,278,0.3307553128136459,8268979.984375,-140,2
161,39058,241,0.32847607795304706,8911331.28125,-124,1
162,39268,210,0.32621254929987265,6895809.5,-186,0
163,39509,241,0.32396461862264725,10246213.71875,-108,1
164,39719,210,0.3217321784357186,8369636.5,-226,0
165,39961,242,0.3195151219941181,9219473.375,-132,1
166,40171,210,0.3173133432884566,8163703.3125,-182,0
167,40381,210,0.3151267370398559,8168839.2421875,-182,0
168,40656,275,0.3129551986949142,12447874.15625,-154,2
169,40866,210,0.3107986244207076,11043105.421875,-178,0
170,41144,278,0.3086569110998245,14284320.2578125,-94,2
171,41354,210,0.3065299563254356,11538022.171875,-162,0
172,41596,242,0.30441765839639706,11007486.046875,-140,1
173,41806,210,0.30231991631238747,12323209.140625,-194,0
174,42016,210,0.30023662976907883,13219218.1953125,-170,0
175,42258,242,0.2981676991533401,17813109.375,-144,1
176,42499,241,0.29611302553847446,12478075.8671875,-150,1
177,42709,210,0.29407251067948886,12822346.9375,-186,0
178,42919,210,0.29204605700839653,12673933.5390625,-188,0
179,43160,241,0.2900335676295517,16050674.453125,-144,1
180,43438,278,0.28803494631501647,20320713.15625,-86,2
181,43716,278,0.2860500974999597,20879452.0625,-88,2
182,43926,210,0.28407892627808745,15605826.0625,-166,0
183,44168,242,0.2821213383971052,20097080.625,-172,1
184,44378,210,0.28017724025421076,24286529.6875,-174,0
185,44624,246,0.278246538891619,23514131.15625,-162,1
186,44834,210,0.27632914199211683,17273539.921875,-186,0
187,45076,242,0.27442495787464916,28872650.1875,-118,1
188,45351,275,0.27253389548993495,26243247.21875,-62,2
189,45561,210,0.27065586441611383,22819001.34375,-168,0
190,45771,210,0.2687907748544224,20501262.046875,-166,0
191,46117,346,0.26693853762490055,37941293.96875,-8,4
192,46327,210,0.26509906416212736,23255048.46875,-174,0
193,46537,210,0.2632722665109862,24580061.4375,-146,0
194,46778,241,0.26145805732245897,28339624.953125,-126,1
195,46988,210,0.2596563498494499,25277593.59375,-162,0
196,47198,210,0.25786705794263737,26994712.40625,-166,0
197,47408,210,0.25609009604635463,24810634.4375,-202,0
198,47618,210,0.2543253791944992,25973960.59375,-160,0
199,47964,346,0.25257282300646994,49233552.71875,18,4
200,48206,242,0.25083234368313234,32718703.0,-140,1
201,48416,210,0.24910385800281187,27136850.5,-190,0
202,48626,210,0.2473872833173145,31863094.34375,-162,0
203,48868,242,0.2456825375479749,35851366.75,-92,1
204,49078,210,0.2439895391817318,32348974.34375,-146,0
205,49288,210,0.24230820726723049,34893695.1875,-146,0
206,49534,246,0.240638461410952,39946011.09375,-112,1
207,49744,210,0.23898022177336914,32909675.34375,-168,0
208,49986,242,0.23733340906512887,35345646.3125,-128,1
209,50228,242,0.23569794454326107,47743424.6875,-124,1
210,50469,241,0.23407375000741346,38494695.4375,-112,1
211,50715,246,0.23246074779611237,44119362.5,-112,1
212,50925,210,0.23085886078304935,40454048.53125,-130,0
213,51135,210,0.22926801237339337,44075823.8125,-146,0
214,51345,210,0.22768812650012832,39463069.0,-154,0
215,51555,210,0.22611912762041594,41137627.53125,-172,0
216,51797,242,0.22456094071198365,39210750.59375,-140,1
217,52043,246,0.22301349126953737,37295645.4375,-104,1
218,52253,210,0.221476705301199,41391693.9375,-174,0
219,52463,210,0.21995050932496846,39201388.375,-178,0
220,52673,210,0.2184348303652101,31456193.34375,-130,0
221,52914,241,0.21692959594916345,50750925.125,-128,1
222,53226,312,0.21543473410347777,59930582.4375,-32,3
223,53468,242,0.2139501733507707,55734704.9375,-120,1
224,53710,242,0.21247584270621056,50931800.8125,-136,1
225,53956,246,0.21101167167412208,51749461.28125,-136,1
226,54166,210,0.2095575902446157,41048741.5625,-146,0
227,54441,275,0.20811352889024007,56768550.40625,-58,2
228,54651,210,0.20667941856265742,47500868.3125,-154,0
229,54897,246,0.20525519068934214,54115787.84375,-120,1
230,55107,210,0.20384077717030188,41358857.125,-142,0
231,55317,210,0.20243611037482134,40918701.6875,-134,0
232,55595,278,0.20104112313822844,50214461.8125,-66,2
233,55805,210,0.19965574875868292,52200131.375,-138,0
234,56046,241,0.19827992099398684,49386716.8125,-100,1
235,56256,210,0.19691357405841728,48374241.40625,-170,0
236,56466,210,0.19555664261958072,44704579.1875,-154,0
237,56707,241,0.19420906179528918,61938047.375,-120,1
238,56949,242,0.19287076715045784,49008276.0,-140,1
239,57159,210,0.19154169469402405,41539479.625,-150,0
240,57400,241,0.19022178087588754,57996823.625,-108,1
241,57610,210,0.1889109625838718,36490102.90625,-138,0
242,57820,210,0.18760917714070635,40803341.21875,-150,0
243,58030,210,0.18631636230102974,45814581.0,-170,0
244,58305,275,0.18503245624841336,58106400.9375,-50,2
245,58515,210,0.18375739759240556,47028534.625,-122,0
246,58757,242,0.1824911253655963,55775331.59375,-96,1
247,58967,210,0.18123357902070197,38414231.3125,-130,0
248,59177,210,0.17998469842767031,44464062.65625,-138,0
249,59387,210,0.17874442387080525,44033090.90625,-166,0
250,59629,242,0.17751269604591152,50161955.96875,-88,1
251,59904,275,0.17628945605745916,52158216.09375,-42,2
252,60114,210,0.1750746454157672,44979627.0,-170,0
253,60324,210,0.17386820603420716,41571422.625,-130,0
254,60566,242,0.17267008022642544,48867162.5625,-76,1
255,60776,210,0.17148021070358516,38591973.125,-158,0
256,60986,210,0.17029854057162674,44129401.75,-134,0
257,61298,312,0.16912501332854768,72990358.0625,-12,3
258,61508,210,0.16795957286170066,42160917.0625,-138,0
