Episode,Steps,Steps per Episode,Epsilon,Loss,GameReward,Score
1,311,311,0.993109,0,-234,3
2,521,210,0.986265485881,25.094430923461914,-338,0
3,767,246,0.979469130417794,577.6053333282471,-302,1
4,977,210,0.972719608640085,475.44497871398926,-304,0
5,1219,242,0.9660165978169462,492.90777111053467,-316,1
6,1429,210,0.9593597774413896,397.5406484603882,-302,0
7,1671,242,0.952748829215041,500.9653844833374,-244,1
8,1881,210,0.9461834370329202,429.0105686187744,-292,0
9,2122,241,0.9396632869683264,469.6839427947998,-310,1
10,2400,278,0.9331880672578277,554.1789875030518,-264,2
11,2610,210,0.926757468286354,427.93114280700684,-308,0
12,2856,246,0.9203711825723927,493.17888879776,-264,1
13,3066,210,0.9140289047532864,374.56345558166504,-326,0
14,3312,246,0.9077303315706314,495.11498832702637,-264,1
15,3522,210,0.9014751618557783,375.55732440948486,-278,0
16,3768,246,0.8952630965154301,466.5839834213257,-276,1
17,3978,210,0.8890938385173424,356.75698375701904,-288,0
18,4220,242,0.8829670928761194,445.3728723526001,-266,1
19,4430,210,0.8768825666391101,393.23669147491455,-300,0
20,4671,241,0.8708399688724,450.0171151161194,-248,1
21,4881,210,0.8648390106469003,361.59288692474365,-288,0
22,5127,246,0.8588794050245325,472.30796909332275,-246,1
23,5337,210,0.8529608670445085,346.9366865158081,-306,0
24,5547,210,0.8470831137097048,374.7896375656128,-272,0
25,5757,210,0.8412458639731313,349.2946557998657,-284,0
26,5967,210,0.8354488387244925,352.5431876182556,-266,0
27,6313,346,0.829691760776842,573.187252998352,-186,4
28,6657,344,0.8239743548533288,578.5020961761475,-168,4
29,6898,241,0.8182963475740346,423.19409942626953,-248,1
30,7108,210,0.8126574674429019,369.22863245010376,-272,0
31,7350,242,0.8070574448347528,430.5965371131897,-256,1
32,7591,241,0.8014960119823966,446.78286123275757,-246,1
33,7833,242,0.795972902963826,439.77845525741577,-252,1
34,8043,210,0.7904878536895023,359.3954792022705,-226,0
35,8285,242,0.7850406018897279,359.95540285110474,-222,1
36,8527,242,0.7796308871021058,418.4725031852722,-262,1
37,8839,312,0.7742584506590853,588.3095183372498,-184,3
38,9114,275,0.7689230356755935,529.8380851745605,-232,2
39,9324,210,0.763624387036753,409.0637893676758,-270,0
40,9534,210,0.7583622513856827,305.35424995422363,-274,0
41,9744,210,0.7531363771113839,362.32130098342896,-246,0
42,9990,246,0.7479465143367094,421.2496213912964,-228,1
43,10269,279,0.7427924149064152,459.33325481414795,-210,2
44,10479,210,0.7376738323752952,337.3108310699463,-282,0
45,10720,241,0.732590521996397,470.3103971481323,-224,1
46,10930,210,0.7275422407093198,334.95543336868286,-226,0
47,11140,210,0.7225287471285919,343.5447211265564,-256,0
48,11381,241,0.7175498015321289,418.6380271911621,-236,1
49,11627,246,0.712605165849771,315.07801961898804,-258,1
50,11902,275,0.7076946036519002,444.68379974365234,-210,2
51,12112,210,0.702817880138135,349.4610915184021,-234,0
52,12322,210,0.6979747621261031,385.52775144577026,-266,0
53,12564,242,0.6931650180402922,366.26357769966125,-218,1
54,12842,278,0.6883884179009765,445.2858557701111,-188,2
55,13052,210,0.6836447333132208,315.7020800113678,-236,0
56,13262,210,0.6789337374559594,298.7135388851166,-216,0
57,13606,344,0.6742552050711504,518.0541224479675,-120,4
58,13848,242,0.6696089124530051,447.2049169540405,-232,1
59,14090,242,0.6649946374372915,364.4559907913208,-202,1
60,14402,312,0.6604121593907111,630.6671895980835,-164,3
61,14643,241,0.6558612592003497,451.4586272239685,-212,1
62,14889,246,0.6513417192632001,392.6251940727234,-230,1
63,15131,242,0.6468533234757574,373.2342629432678,-222,1
64,15410,279,0.642395857223686,506.2771682739258,-190,2
65,15652,242,0.6379691073715575,493.32024669647217,-200,1
66,15931,279,0.6335728622526602,555.8548460006714,-190,2
67,16173,242,0.6292069116588771,354.21462774276733,-224,1
68,16415,242,0.6248710468306358,430.96397256851196,-190,1
69,16724,309,0.6205650604469258,588.1365404129028,-192,3
70,16999,275,0.6162887466153861,549.3981022834778,-206,2
71,17240,241,0.6120419008624595,403.88409519195557,-204,1
72,17482,242,0.6078243201236163,426.00092029571533,-228,1
73,17724,242,0.6036358027336445,393.10967779159546,-244,1
74,17970,246,0.5994761484170069,469.18139457702637,-196,1
75,18212,242,0.5953451582782653,493.8744087219238,-204,1
76,18422,210,0.5912426347925698,409.9481544494629,-246,0
77,18632,210,0.5871683817962142,431.4952507019043,-224,0
78,18874,242,0.5831222044772565,449.5941333770752,-188,1
79,19084,210,0.5791039093662037,408.55469608306885,-226,0
80,19330,246,0.5751133043267612,467.31649684906006,-228,1
81,19608,278,0.5711501985466455,509.47261905670166,-142,2
82,19849,241,0.5672144025284606,466.15081453323364,-204,1
83,20124,275,0.563305728080637,572.9906792640686,-154,2
84,20365,241,0.5594239883084333,477.923348903656,-216,1
85,20575,210,0.5555689976049999,391.6758518218994,-272,0
86,20854,279,0.5517405716425039,465.8224358558655,-160,2
87,21064,210,0.5479385273633154,316.05026149749756,-234,0
88,21274,210,0.5441626829712548,384.5145673751831,-202,0
89,21520,246,0.5404128579229,531.6577739715576,-236,1
90,21730,210,0.5366888729189533,399.500648021698,-232,0
91,21940,210,0.5329905498956687,407.36971378326416,-222,0
92,22215,275,0.5293177120163377,477.7709937095642,-140,2
93,22425,210,0.5256701836628331,404.4242784976959,-228,0
94,22635,210,0.5220477904272126,347.54184341430664,-246,0
95,22877,242,0.5184503591033787,504.52195167541504,-188,1
96,23119,242,0.5148777176787973,477.88449144363403,-194,1
97,23365,246,0.5113296953262727,524.0992794036865,-190,1
