Episode,Steps,Steps per Episode,Epsilon,Loss,GameReward,Score
1,275,275,0.993109,0,-276,2
2,485,210,0.986265485881,0,-320,0
3,695,210,0.979469130417794,369.36664962768555,-286,0
4,905,210,0.972719608640085,401.8675203323364,-314,0
5,1115,210,0.9660165978169462,406.478346824646,-276,0
6,1361,246,0.9593597774413896,449.5080966949463,-316,1
7,1607,246,0.952748829215041,472.6108121871948,-320,1
8,1817,210,0.9461834370329202,386.8010959625244,-324,0
9,2027,210,0.9396632869683264,345.19196605682373,-282,0
10,2237,210,0.9331880672578277,399.3410634994507,-316,0
11,2447,210,0.926757468286354,326.7391562461853,-298,0
12,2688,241,0.9203711825723927,400.9518094062805,-308,1
13,2898,210,0.9140289047532864,388.64448165893555,-304,0
14,3108,210,0.9077303315706314,313.4197082519531,-312,0
15,3417,309,0.9014751618557783,496.98853969573975,-258,3
16,3663,246,0.8952630965154301,441.7668685913086,-256,1
17,3873,210,0.8890938385173424,357.9843282699585,-286,0
18,4083,210,0.8829670928761194,339.93284702301025,-270,0
19,4293,210,0.8768825666391101,355.2595043182373,-274,0
20,4534,241,0.8708399688724,383.5168466567993,-260,1
21,4809,275,0.8648390106469003,453.9675192832947,-264,2
22,5019,210,0.8588794050245325,364.9412794113159,-294,0
23,5297,278,0.8529608670445085,421.05686378479004,-236,2
24,5507,210,0.8470831137097048,290.4951605796814,-290,0
25,5753,246,0.8412458639731313,354.18176317214966,-262,1
26,5963,210,0.8354488387244925,323.7523317337036,-276,0
27,6173,210,0.829691760776842,327.02599573135376,-268,0
28,6484,311,0.8239743548533288,488.39348125457764,-216,3
29,6725,241,0.8182963475740346,377.9225215911865,-284,1
30,6935,210,0.8126574674429019,308.02559518814087,-280,0
31,7281,346,0.8070574448347528,584.6139979362488,-150,4
32,7523,242,0.8014960119823966,340.1423342227936,-256,1
33,7801,278,0.795972902963826,427.2247905731201,-230,2
34,8011,210,0.7904878536895023,293.96518087387085,-282,0
35,8221,210,0.7850406018897279,322.92814922332764,-258,0
36,8431,210,0.7796308871021058,323.43665862083435,-278,0
37,8706,275,0.7742584506590853,354.2112624645233,-216,2
38,8916,210,0.7689230356755935,310.5705132484436,-294,0
39,9126,210,0.763624387036753,353.19169759750366,-268,0
40,9336,210,0.7583622513856827,312.4920291900635,-260,0
