Episode,Steps,Steps per Episode,Epsilon,Loss,GameReward,Score
1,210,210,0.993109,0,-314,0
2,420,210,0.986265485881,0,-306,0
3,630,210,0.979469130417794,151.5774278640747,-288,0
4,840,210,0.972719608640085,312.98844623565674,-302,0
5,1050,210,0.9660165978169462,318.17724895477295,-278,0
6,1260,210,0.9593597774413896,314.8218803405762,-306,0
7,1470,210,0.952748829215041,313.0096802711487,-316,0
8,1680,210,0.9461834370329202,317.1052360534668,-300,0
9,1959,279,0.9396632869683264,400.5964984893799,-270,2
10,2200,241,0.9331880672578277,364.7218556404114,-306,1
11,2441,241,0.926757468286354,399.43370723724365,-282,1
12,2683,242,0.9203711825723927,400.76708984375,-280,1
13,2893,210,0.9140289047532864,390.3805570602417,-288,0
14,3103,210,0.9077303315706314,300.2950463294983,-302,0
15,3349,246,0.9014751618557783,372.81336879730225,-282,1
16,3590,241,0.8952630965154301,348.67462730407715,-248,1
17,3836,246,0.8890938385173424,398.1062297821045,-268,1
18,4082,246,0.8829670928761194,442.2462615966797,-248,1
19,4328,246,0.8768825666391101,425.33230686187744,-270,1
20,4538,210,0.8708399688724,334.3878936767578,-318,0
21,4748,210,0.8648390106469003,338.53214168548584,-282,0
22,4989,241,0.8588794050245325,341.69965171813965,-252,1
23,5300,311,0.8529608670445085,427.9307761192322,-200,3
24,5575,275,0.8470831137097048,482.8457279205322,-226,2
25,5785,210,0.8412458639731313,338.0607695579529,-270,0
26,6027,242,0.8354488387244925,373.740198135376,-252,1
27,6269,242,0.829691760776842,353.68292713165283,-238,1
28,6479,210,0.8239743548533288,301.21891689300537,-270,0
29,6689,210,0.8182963475740346,300.90080308914185,-254,0
30,6935,246,0.8126574674429019,376.804895401001,-242,1
31,7145,210,0.8070574448347528,348.0564489364624,-298,0
32,7391,246,0.8014960119823966,301.61464619636536,-232,1
33,7637,246,0.795972902963826,312.81650733947754,-260,1
34,7879,242,0.7904878536895023,383.80000019073486,-276,1
35,8089,210,0.7850406018897279,256.3079378604889,-268,0
