Episode,Steps,Steps per Episode,Epsilon,Loss,GameReward,Score
1,210,210,0.993109,0,-322,0
2,420,210,0.986265485881,0,-320,0
3,630,210,0.979469130417794,155.78564357757568,-306,0
4,840,210,0.972719608640085,275.857439994812,-272,0
5,1050,210,0.9660165978169462,295.62738513946533,-276,0
6,1260,210,0.9593597774413896,289.4524435997009,-286,0
7,1502,242,0.952748829215041,346.76952266693115,-286,1
8,1712,210,0.9461834370329202,306.45291233062744,-306,0
9,1958,246,0.9396632869683264,378.26159954071045,-292,1
10,2168,210,0.9331880672578277,327.37821769714355,-278,0
11,2409,241,0.926757468286354,398.2729787826538,-276,1
12,2619,210,0.9203711825723927,376.5708999633789,-282,0
13,2829,210,0.9140289047532864,293.29079818725586,-314,0
14,3039,210,0.9077303315706314,338.41014671325684,-314,0
15,3249,210,0.9014751618557783,285.25962924957275,-304,0
16,3459,210,0.8952630965154301,267.2580256462097,-298,0
17,3669,210,0.8890938385173424,293.0013346672058,-282,0
18,4013,344,0.8829670928761194,500.2786943912506,-210,4
19,4223,210,0.8768825666391101,320.87713098526,-294,0
20,4532,309,0.8708399688724,446.37780952453613,-208,3
21,4742,210,0.8648390106469003,330.63888120651245,-278,0
22,4952,210,0.8588794050245325,295.3786430358887,-264,0
23,5194,242,0.8529608670445085,326.89342164993286,-262,1
24,5404,210,0.8470831137097048,276.7497806549072,-268,0
25,5614,210,0.8412458639731313,292.44508600234985,-256,0
26,5856,242,0.8354488387244925,313.66621017456055,-232,1
27,6167,311,0.829691760776842,432.75641989707947,-228,3
28,6377,210,0.8239743548533288,296.6178503036499,-282,0
29,6655,278,0.8182963475740346,423.09791326522827,-240,2
30,6865,210,0.8126574674429019,281.6978144645691,-280,0
31,7106,241,0.8070574448347528,377.1333866119385,-258,1
32,7316,210,0.8014960119823966,277.28174114227295,-242,0
33,7562,246,0.795972902963826,359.4438452720642,-228,1
34,7803,241,0.7904878536895023,300.95837926864624,-244,1
35,8013,210,0.7850406018897279,308.5461206436157,-292,0
36,8223,210,0.7796308871021058,279.3675706386566,-282,0
37,8465,242,0.7742584506590853,352.5566654205322,-222,1
38,8675,210,0.7689230356755935,248.32245516777039,-244,0
39,8950,275,0.763624387036753,390.8001117706299,-244,2
40,9196,246,0.7583622513856827,363.69966316223145,-242,1
41,9442,246,0.7531363771113839,377.6840467453003,-232,1
42,9684,242,0.7479465143367094,360.39088439941406,-252,1
43,9930,246,0.7427924149064152,379.89141941070557,-214,1
44,10172,242,0.7376738323752952,319.86374950408936,-264,1
45,10382,210,0.732590521996397,288.86413288116455,-260,0
46,10592,210,0.7275422407093198,286.1311719417572,-250,0
47,10834,242,0.7225287471285919,306.70254349708557,-222,1
48,11112,278,0.7175498015321289,395.016361951828,-206,2
49,11322,210,0.712605165849771,324.78914868831635,-270,0
50,11668,346,0.7076946036519002,474.70770996809006,-158,4
51,11910,242,0.702817880138135,317.41336584091187,-224,1
52,12120,210,0.6979747621261031,283.8052716255188,-250,0
53,12330,210,0.6931650180402922,300.5932161808014,-214,0
54,12571,241,0.6883884179009765,439.38498878479004,-218,1
55,12781,210,0.6836447333132208,304.7970507144928,-256,0
56,12991,210,0.6789337374559594,318.5936381816864,-232,0
57,13201,210,0.6742552050711504,328.70304822921753,-222,0
58,13411,210,0.6696089124530051,306.32200026512146,-206,0
59,13653,242,0.6649946374372915,360.9537787437439,-224,1
60,13965,312,0.6604121593907111,488.1137647628784,-158,3
61,14175,210,0.6558612592003497,371.03261744976044,-226,0
62,14385,210,0.6513417192632001,346.72340869903564,-254,0
63,14595,210,0.6468533234757574,323.82413935661316,-226,0
64,14870,275,0.642395857223686,429.0209617614746,-144,2
65,15080,210,0.6379691073715575,282.94472074508667,-238,0
66,15290,210,0.6335728622526602,366.88166332244873,-250,0
67,15531,241,0.6292069116588771,329.11080265045166,-206,1
68,15741,210,0.6248710468306358,352.94166898727417,-234,0
69,15951,210,0.6205650604469258,305.62649488449097,-230,0
70,16161,210,0.6162887466153861,286.17133140563965,-228,0
71,16371,210,0.6120419008624595,284.08248138427734,-248,0
72,16649,278,0.6078243201236163,412.3750100135803,-178,2
73,16859,210,0.6036358027336445,291.2941200733185,-220,0
74,17069,210,0.5994761484170069,332.21364736557007,-220,0
75,17310,241,0.5953451582782653,355.96217131614685,-194,1
76,17552,242,0.5912426347925698,330.98997163772583,-200,1
77,17762,210,0.5871683817962142,304.42878007888794,-210,0
78,17972,210,0.5831222044772565,321.96256136894226,-222,0
79,18182,210,0.5791039093662037,360.39344692230225,-210,0
80,18392,210,0.5751133043267612,329.05787658691406,-246,0
81,18633,241,0.5711501985466455,386.5191912651062,-200,1
82,18874,241,0.5672144025284606,365.0618953704834,-196,1
83,19084,210,0.563305728080637,287.20876359939575,-218,0
