Episode,Steps,Steps per Episode,Epsilon,Loss,GameReward,Score
1,309,309,0.993109,0,-244,3
2,550,241,0.986265485881,87.86279487609863,-326,1
3,796,246,0.979469130417794,626.6391983032227,-290,1
4,1042,246,0.972719608640085,700.4166202545166,-292,1
5,1321,279,0.9660165978169462,707.061372756958,-286,2
6,1562,241,0.9593597774413896,605.4386835098267,-258,1
7,1772,210,0.952748829215041,505.22091484069824,-306,0
8,2014,242,0.9461834370329202,545.3484926223755,-322,1
9,2224,210,0.9396632869683264,478.1405267715454,-320,0
10,2499,275,0.9331880672578277,562.6254553794861,-256,2
11,2709,210,0.926757468286354,491.3524627685547,-314,0
12,2955,246,0.9203711825723927,523.5292320251465,-304,1
13,3165,210,0.9140289047532864,364.9226303100586,-304,0
14,3375,210,0.9077303315706314,421.7717065811157,-276,0
15,3585,210,0.9014751618557783,412.79990005493164,-276,0
16,3831,246,0.8952630965154301,472.39732551574707,-264,1
17,4077,246,0.8890938385173424,458.84420680999756,-298,1
18,4287,210,0.8829670928761194,351.38805961608887,-302,0
19,4566,279,0.8768825666391101,486.7433533668518,-244,2
20,4807,241,0.8708399688724,382.0479702949524,-292,1
21,5017,210,0.8648390106469003,407.62213706970215,-276,0
22,5259,242,0.8588794050245325,418.73196268081665,-248,1
23,5469,210,0.8529608670445085,320.30710780620575,-278,0
24,5679,210,0.8470831137097048,355.5242553949356,-302,0
25,5889,210,0.8412458639731313,408.1183371543884,-294,0
26,6099,210,0.8354488387244925,339.5716161727905,-254,0
27,6309,210,0.829691760776842,327.5757758617401,-264,0
28,6550,241,0.8239743548533288,413.3096058368683,-248,1
29,6796,246,0.8182963475740346,428.19776463508606,-260,1
30,7006,210,0.8126574674429019,215.79120087623596,-288,0
31,7281,275,0.8070574448347528,442.8626163005829,-258,2
32,7592,311,0.8014960119823966,531.0362985134125,-200,3
33,7802,210,0.795972902963826,427.39658069610596,-282,0
34,8113,311,0.7904878536895023,589.2570452690125,-190,3
35,8323,210,0.7850406018897279,400.1067638397217,-258,0
36,8533,210,0.7796308871021058,253.49105882644653,-274,0
37,8879,346,0.7742584506590853,581.7161858081818,-146,4
38,9121,242,0.7689230356755935,371.7205159664154,-270,1
39,9362,241,0.763624387036753,432.62434577941895,-244,1
40,9608,246,0.7583622513856827,400.77176690101624,-232,1
41,9818,210,0.7531363771113839,389.66365790367126,-270,0
42,10127,309,0.7479465143367094,557.346985578537,-226,3
43,10369,242,0.7427924149064152,366.3463410139084,-242,1
44,10579,210,0.7376738323752952,331.06114745140076,-236,0
45,10789,210,0.732590521996397,317.620263338089,-288,0
46,11168,379,0.7275422407093198,690.6355267763138,-164,5
47,11480,312,0.7225287471285919,472.23092901706696,-162,3
48,11932,452,0.7175498015321289,868.9491194486618,-84,7
49,12173,241,0.712605165849771,440.366863489151,-232,1
50,12383,210,0.7076946036519002,465.5686905384064,-232,0
51,12593,210,0.702817880138135,461.47746658325195,-260,0
52,12803,210,0.6979747621261031,391.277991771698,-254,0
53,13049,246,0.6931650180402922,404.96214640140533,-190,1
54,13324,275,0.6883884179009765,390.5966008901596,-166,2
55,13570,246,0.6836447333132208,560.1170701980591,-220,1
56,13780,210,0.6789337374559594,306.0299081802368,-238,0
57,14058,278,0.6742552050711504,520.3939499855042,-216,2
58,14404,346,0.6696089124530051,588.5251219272614,-100,4
59,14748,344,0.6649946374372915,615.4656782150269,-134,4
60,15023,275,0.6604121593907111,491.48885107040405,-182,2
61,15233,210,0.6558612592003497,317.2375683784485,-234,0
62,15443,210,0.6513417192632001,384.57342302799225,-250,0
63,15689,246,0.6468533234757574,489.5661165714264,-192,1
64,15967,278,0.642395857223686,581.683135509491,-178,2
65,16276,309,0.6379691073715575,522.0408117771149,-164,3
66,16517,241,0.6335728622526602,533.5369470119476,-208,1
67,16792,275,0.6292069116588771,556.7064723968506,-190,2
68,17038,246,0.6248710468306358,486.3167824745178,-228,1
69,17284,246,0.6205650604469258,438.7146751880646,-240,1
70,17628,344,0.6162887466153861,669.5732841491699,-124,4
71,17838,210,0.6120419008624595,447.128333568573,-226,0
72,18048,210,0.6078243201236163,529.9880685806274,-250,0
73,18394,346,0.6036358027336445,997.9339685440063,-190,4
74,18604,210,0.5994761484170069,686.4914684295654,-286,0
75,18814,210,0.5953451582782653,734.6191349029541,-242,0
76,19160,346,0.5912426347925698,1567.3700275421143,-154,4
77,19370,210,0.5871683817962142,1309.1535301208496,-242,0
78,19580,210,0.5831222044772565,1861.1065101623535,-312,0
79,19790,210,0.5791039093662037,2539.084892272949,-262,0
80,20068,278,0.5751133043267612,4350.861907958984,-210,2
81,20310,242,0.5711501985466455,5963.915321350098,-228,1
82,20520,210,0.5672144025284606,6161.666900634766,-234,0
83,20730,210,0.563305728080637,8982.337646484375,-230,0
84,20940,210,0.5594239883084333,11133.052215576172,-274,0
85,21150,210,0.5555689976049999,14892.248291015625,-240,0
86,21396,246,0.5517405716425039,24468.747467041016,-252,1
87,21606,210,0.5479385273633154,25854.822509765625,-282,0
88,21816,210,0.5441626829712548,36223.158142089844,-234,0
89,22057,241,0.5404128579229,47015.88250732422,-228,1
90,22267,210,0.5366888729189533,48596.46661376953,-230,0
91,22477,210,0.5329905498956687,64908.791931152344,-222,0
92,22756,279,0.5293177120163377,112302.43096923828,-170,2
93,22966,210,0.5256701836628331,99942.89331054688,-240,0
94,23208,242,0.5220477904272126,120057.90905761719,-214,1
95,23450,242,0.5184503591033787,190022.548828125,-192,1
96,23660,210,0.5148777176787973,152438.44140625,-262,0
97,23870,210,0.5113296953262727,172028.70849609375,-262,0
98,24080,210,0.5078061223957794,218954.74584960938,-250,0
99,24290,210,0.50430683040635,281706.470703125,-202,0
100,24500,210,0.5008316520380199,296789.75,-252,0
