Episode,Steps,Steps per Episode,Epsilon,Loss,GameReward,Score
1,210,210,0.993109,0,-326,0
2,521,311,0.986265485881,25.958768844604492,-280,3
3,731,210,0.979469130417794,520.1703357696533,-312,0
4,977,246,0.972719608640085,557.5464334487915,-296,1
5,1252,275,0.9660165978169462,610.43434715271,-296,2
6,1462,210,0.9593597774413896,478.51877880096436,-296,0
7,1703,241,0.952748829215041,453.7894744873047,-288,1
8,1949,246,0.9461834370329202,543.2083539962769,-284,1
9,2224,275,0.9396632869683264,617.8332815170288,-292,2
10,2470,246,0.9331880672578277,484.12963485717773,-298,1
11,2680,210,0.926757468286354,430.20257091522217,-292,0
12,2922,242,0.9203711825723927,483.4266014099121,-272,1
13,3163,241,0.9140289047532864,381.58390188217163,-268,1
14,3373,210,0.9077303315706314,352.2532958984375,-322,0
15,3615,242,0.9014751618557783,465.85676622390747,-288,1
16,3825,210,0.8952630965154301,373.4217071533203,-288,0
17,4035,210,0.8890938385173424,451.97278213500977,-302,0
18,4245,210,0.8829670928761194,361.19633293151855,-318,0
19,4455,210,0.8768825666391101,302.52480459213257,-284,0
20,4696,241,0.8708399688724,441.6886444091797,-238,1
21,4942,246,0.8648390106469003,506.6269521713257,-270,1
22,5152,210,0.8588794050245325,389.9788770675659,-266,0
23,5362,210,0.8529608670445085,379.40429294109344,-308,0
24,5572,210,0.8470831137097048,331.6040759086609,-264,0
25,5782,210,0.8412458639731313,325.9216003417969,-302,0
26,5992,210,0.8354488387244925,386.4877209663391,-266,0
27,6202,210,0.829691760776842,300.7619595527649,-286,0
28,6448,246,0.8239743548533288,313.109099149704,-266,1
29,6658,210,0.8182963475740346,345.30744886398315,-282,0
30,6868,210,0.8126574674429019,273.68881607055664,-256,0
31,7143,275,0.8070574448347528,404.15171480178833,-234,2
32,7455,312,0.8014960119823966,483.9395408630371,-200,3
33,7665,210,0.795972902963826,321.2170338630676,-260,0
34,7943,278,0.7904878536895023,396.75371837615967,-228,2
35,8185,242,0.7850406018897279,397.9463243484497,-248,1
36,8426,241,0.7796308871021058,323.3122751712799,-222,1
37,8636,210,0.7742584506590853,293.4377512931824,-260,0
38,8911,275,0.7689230356755935,385.23231410980225,-190,2
39,9189,278,0.763624387036753,337.07161569595337,-222,2
40,9468,279,0.7583622513856827,469.15181016921997,-210,2
41,9743,275,0.7531363771113839,430.57955288887024,-182,2
42,10018,275,0.7479465143367094,437.1371645927429,-206,2
43,10264,246,0.7427924149064152,442.34197449684143,-262,1
44,10474,210,0.7376738323752952,335.96812504529953,-258,0
45,10684,210,0.732590521996397,310.1365976333618,-266,0
46,10925,241,0.7275422407093198,481.4654498100281,-214,1
47,11167,242,0.7225287471285919,393.3626482486725,-256,1
48,11442,275,0.7175498015321289,493.01328897476196,-198,2
49,11652,210,0.712605165849771,301.5783417224884,-270,0
50,11898,246,0.7076946036519002,421.49974250793457,-226,1
51,12139,241,0.702817880138135,389.78320360183716,-228,1
52,12414,275,0.6979747621261031,517.5195963382721,-214,2
53,12624,210,0.6931650180402922,376.6918306350708,-264,0
54,12834,210,0.6883884179009765,417.956866979599,-218,0
55,13109,275,0.6836447333132208,441.82069730758667,-176,2
56,13418,309,0.6789337374559594,443.8327398300171,-146,3
57,13628,210,0.6742552050711504,373.1518430709839,-228,0
58,13874,246,0.6696089124530051,415.5013527870178,-206,1
59,14084,210,0.6649946374372915,362.0319175720215,-246,0
60,14294,210,0.6604121593907111,388.20105957984924,-238,0
61,14536,242,0.6558612592003497,444.846960067749,-184,1
62,14746,210,0.6513417192632001,365.89850401878357,-222,0
63,14988,242,0.6468533234757574,490.39846658706665,-204,1
64,15230,242,0.642395857223686,417.872407913208,-196,1
65,15541,311,0.6379691073715575,491.42073607444763,-134,3
66,15819,278,0.6335728622526602,508.1999053955078,-220,2
67,16094,275,0.6292069116588771,499.81099939346313,-186,2
68,16511,417,0.6248710468306358,743.2106518745422,-16,6
69,16890,379,0.6205650604469258,549.2427098751068,-114,5
70,17100,210,0.6162887466153861,344.0172395706177,-218,0
71,17341,241,0.6120419008624595,398.21141719818115,-184,1
72,17587,246,0.6078243201236163,391.50588488578796,-210,1
73,17862,275,0.6036358027336445,420.0215311050415,-192,2
74,18108,246,0.5994761484170069,424.56114411354065,-208,1
75,18318,210,0.5953451582782653,344.9367127418518,-222,0
76,18528,210,0.5912426347925698,352.07902002334595,-234,0
77,18806,278,0.5871683817962142,528.8730783462524,-186,2
78,19048,242,0.5831222044772565,474.39093589782715,-164,1
79,19258,210,0.5791039093662037,412.9226131439209,-224,0
80,19468,210,0.5751133043267612,390.77462100982666,-222,0
81,19678,210,0.5711501985466455,338.6327705383301,-226,0
82,19919,241,0.5672144025284606,419.20476722717285,-144,1
83,20197,278,0.563305728080637,554.0707921981812,-176,2
84,20439,242,0.5594239883084333,392.7334096431732,-166,1
85,20681,242,0.5555689976049999,436.76360607147217,-200,1
86,20891,210,0.5517405716425039,362.9964327812195,-206,0
